match_id,elo_winner,elo_loser,surface_elo_winner,surface_elo_loser,blended_elo_winner,blended_elo_loser
London_2023_208103_202103,1838.0957643729462,1956.0754380874598,1645.5126288128238,1734.5139269091649,1799.5791372609217,1911.7631358518008
London_2023_208029_106148,2070.2204259304513,1788.582344104136,1689.1876860582256,1569.254432640893,1994.0138779560064,1744.7167618114875
London_2023_106421_105173,2170.813477738942,1839.1051630490115,1942.4332650045692,1864.073845741453,2125.1374351920676,1849.092636125988
London_2023_207989_124186,2230.3760643388505,1784.2495856649375,1886.5585917627825,1636.0420322492937,2161.612569823637,1754.6080749818088
London_2023_100644_133297,2035.4240569622261,1726.3760437176593,1935.665851932129,1665.768234376009,2015.472415956207,1714.2544818493293
London_2023_111153_111815,1795.864348132256,1951.6246001043705,1773.9724101736733,1908.665073190377,1787.107572948823,1943.032694721572
London_2023_105916_106218,1862.6788812486184,1761.8460432622774,1896.0520461495526,1637.822961921942,1869.3535142288054,1737.0414269942103
London_2023_126610_200282,1946.0501724953933,1938.1265792979498,2098.1835447984627,1873.4759082692415,1976.4768469560072,1925.1964450922083
London_2023_106331_106210,1761.4719591986432,1735.3691075391166,1631.3519387123695,1855.840576766294,1735.4479551013885,1759.4634013845523
London_2023_111797_106186,1922.0257312429596,1721.1090024027735,1722.7457545207697,1759.3275298139213,1882.1697358985218,1728.7527078850032
London_2023_200221_122298,1867.7913049694798,1801.176885675321,1604.4203113926035,1724.8614227983735,1815.1171062541048,1785.9137930999318
London_2023_126774_104918,2035.8622764035183,1844.8624734854548,1825.3870299201278,1831.2417963141006,1993.7672271068402,1842.1383380511838
London_2023_128034_207518,1930.1635039239586,1923.9616964735155,1892.4972467112334,1676.9551626600714,1922.6302524814137,1874.560389710827
London_2023_104925_104527,2315.38534760073,1862.7400440356798,2335.502881764759,1785.8625150188227,2319.408854433536,1847.3645382323086
London_2023_126128_105550,1776.6968680302127,1719.4136317084392,1681.3307320065421,1800.6265769313222,1757.6236408254786,1735.656220753016
London_2023_126094_105676,2042.7087047595412,1754.214548215007,1984.787718788727,1937.3855919728621,2031.1245075653785,1790.848756966578
London_2023_123755_144707,1655.347047473243,1785.7613509107837,1719.9482121869523,1688.5717621190363,1668.2672804159852,1766.3234331524343
London_2023_122330_109739,1891.7441075176007,1706.937423735385,1994.2386035987683,1789.835006617,1932.7419059500676,1723.516940311708
London_2023_206173_111460,2033.4377366010535,1727.9999991757722,1802.0175054914532,1664.089755267379,1987.1536903791336,1715.2179503940936
London_2023_133430_106281,1875.1985889447194,1723.6804347113423,1817.8448636463718,1677.4560892372135,1863.7278438850499,1714.4355656165167
London_2023_126774_111513,2041.6869026342365,1812.4965786737419,1854.8581532134663,1742.3253979367605,2004.3211527500825,1798.4623425263458
London_2023_111153_106331,1821.2103086368563,1775.5755181377926,1810.6221829118233,1677.5386152951826,1816.975058346843,1755.9681375692708
London_2023_106421_105916,2173.623366604145,1874.2155795098358,1965.4252164820425,1907.0741566449026,2131.9837365797243,1880.7872949368493
London_2023_207989_111797,2232.0542074798004,1928.9153866968118,1898.119522641823,1755.6246921289212,2165.267270512205,1894.2572477832337
London_2023_208029_200221,2073.8306482229946,1878.1593759942386,1709.6139788678188,1647.3422455176712,2000.9873143519596,1831.9959498989253
