ATP,tourney_location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,loser_id,winner_id,match_id,Winner_Sets_Before,Winner_Gems_Before,Loser_Sets_Before,Loser_Gems_Before
3,Adelaide 2,Adelaide International 2,2023-01-09,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Edmund K.,28.0,583.0,1420.0,52.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.17,5.0,1.23,4.67,1.23,5.0,1.2,4.53,106378,200175,Adelaide 2_2023_200175_106378,0.0,0.0,0.0,0.0
3,Adelaide 2,Adelaide International 2,2023-01-09,ATP250,Outdoor,Hard,1st Round,3,Davidovich Fokina A.,Nakashima B.,32.0,47.0,1280.0,927.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.88,1.47,2.95,1.47,2.79,1.43,206909,200221,Adelaide 2_2023_200221_206909,0.0,0.0,0.0,0.0
3,Adelaide 2,Adelaide International 2,2023-01-09,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Popyrin A.,110.0,113.0,522.0,506.0,6.0,0.0,6.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,1.73,2.1,1.75,2.18,1.75,2.3,1.7,2.14,200615,106423,Adelaide 2_2023_106423_200615,0.0,0.0,0.0,0.0
4,Auckland,ASB Classic,2023-01-09,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Bublik A.,53.0,36.0,870.0,1130.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.1,1.73,2.28,1.69,2.28,1.8,2.13,1.7,122330,105676,Auckland_2023_105676_122330,0.0,0.0,0.0,0.0
4,Auckland,ASB Classic,2023-01-09,ATP250,Outdoor,Hard,1st Round,3,Brooksby J.,Fognini F.,48.0,57.0,920.0,843.0,6.0,7.0,6.0,1.0,6.0,3.0,,,,,2.0,1.0,Completed,1.4,3.0,1.41,3.13,1.44,3.15,1.39,2.94,104926,202385,Auckland_2023_202385_104926,0.0,0.0,0.0,0.0
4,Auckland,ASB Classic,2023-01-09,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Pannu K.,67.0,575.0,740.0,54.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.06,10.0,1.06,12.25,1.06,12.25,1.05,9.76,208485,104755,Auckland_2023_104755_208485,0.0,0.0,0.0,0.0
4,Auckland,ASB Classic,2023-01-09,ATP250,Outdoor,Hard,1st Round,3,Wolf J.J.,Mannarino A.,66.0,43.0,746.0,971.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.0,1.8,2.12,1.79,2.12,1.83,2.03,1.77,105173,200670,Auckland_2023_200670_105173,0.0,0.0,0.0,0.0
4,Auckland,ASB Classic,2023-01-09,ATP250,Outdoor,Hard,1st Round,3,Barrere G.,Isner J.,88.0,42.0,603.0,980.0,6.0,7.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.5,1.53,2.39,1.64,2.7,1.64,2.42,1.55,104545,106296,Auckland_2023_106296_104545,0.0,0.0,0.0,0.0
4,Auckland,ASB Classic,2023-01-09,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Coria F.,60.0,76.0,796.0,695.0,6.0,7.0,6.0,4.0,7.0,5.0,,,,,2.0,1.0,Completed,1.14,5.5,1.23,4.66,1.25,5.5,1.19,4.71,105948,106218,Auckland_2023_106218_105948,0.0,0.0,0.0,0.0
3,Adelaide 2,Adelaide International 2,2023-01-10,ATP250,Outdoor,Hard,1st Round,3,Paul T.,O Connell C.,35.0,79.0,1185.0,652.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.51,2.73,1.51,3.0,1.45,2.71,106331,126205,Adelaide 2_2023_126205_106331,0.0,0.0,0.0,0.0
