ATP,tourney_location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,loser_id,winner_id,match_id
30,Paris,French Open,2021-05-31,Grand Slam,Outdoor,Clay,1st Round,5,Munar J.,Thompson J.,72,64.0,974,1042.0,6.0,7.0,6.0,1.0,7.0,6.0,6.0,4.0,,,3.0,1.0,Completed,1.08,8.0,1.14,6.73,1.14,8.5,1.1,7.24,111442,144719,Paris_2021_144719_111442
30,Paris,French Open,2021-05-31,Grand Slam,Outdoor,Clay,1st Round,5,Opelka R.,Martin A.,35,108.0,1726,760.0,6.0,3.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,1.4,3.0,1.45,3.0,1.51,3.0,1.42,2.87,105413,124187,Paris_2021_124187_105413
30,Paris,French Open,2021-05-31,Grand Slam,Outdoor,Clay,1st Round,5,Basilashvili N.,Lajovic D.,31,39.0,1785,1585.0,6.0,4.0,6.0,3.0,0.0,6.0,6.0,2.0,,,3.0,1.0,Completed,1.66,2.2,1.7,2.28,1.74,2.29,1.68,2.2,105583,105932,Paris_2021_105932_105583
30,Paris,French Open,2021-05-31,Grand Slam,Outdoor,Clay,1st Round,5,Martinez P.,Korda S.,103,50.0,793,1289.0,6.0,4.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,3.4,1.33,3.42,1.37,3.84,1.38,3.33,1.33,200624,124079,Paris_2021_124079_200624
30,Paris,French Open,2021-05-31,Grand Slam,Outdoor,Clay,1st Round,5,Alcaraz C.,Zapata Miralles B.,97,128.0,815,631.0,6.0,3.0,2.0,6.0,6.0,1.0,7.0,6.0,,,3.0,1.0,Completed,1.28,3.75,1.32,3.74,1.32,3.95,1.29,3.63,126523,207989,Paris_2021_207989_126523
30,Paris,French Open,2021-05-31,Grand Slam,Outdoor,Clay,1st Round,5,Majchrzak K.,Cazaux A.,126,452.0,636,87.0,6.0,4.0,2.0,6.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,1.53,2.5,1.64,2.42,1.64,2.61,1.57,2.41,209070,111794,Paris_2021_111794_209070
30,Paris,French Open,2021-05-31,Grand Slam,Outdoor,Clay,1st Round,5,Federer R.,Istomin D.,8,204.0,5605,343.0,6.0,2.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,1.12,6.0,1.12,7.76,1.13,7.76,1.11,6.64,104797,103819,Paris_2021_103819_104797
30,Paris,French Open,2021-05-31,Grand Slam,Outdoor,Clay,1st Round,5,Harris L.,Sonego L.,54,28.0,1198,2132.0,7.0,5.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,5.5,1.14,6.75,1.14,6.75,1.17,5.8,1.14,132283,144750,Paris_2021_144750_132283
30,Paris,French Open,2021-05-31,Grand Slam,Outdoor,Clay,1st Round,5,Cilic M.,Rinderknech A.,47,118.0,1388,677.0,7.0,6.0,6.0,1.0,6.0,2.0,,,,,3.0,0.0,Completed,1.72,2.1,1.77,2.18,1.8,2.2,1.73,2.12,126239,105227,Paris_2021_105227_126239
30,Paris,French Open,2021-05-31,Grand Slam,Outdoor,Clay,1st Round,5,Fritz T.,Sousa J.,33,114.0,1760,714.0,6.0,4.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,1.12,6.0,1.18,5.59,1.18,6.75,1.14,5.89,105311,126203,Paris_2021_126203_105311
