tourney_id,tourney_location,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,shortened_winner_name,shortened_loser_name,match_id
2020-M056,Adelaide,Hard,32,A,20200113,288,126094,3.0,,Andrey Rublev,R,188.0,RUS,22.2,105023,,,Sam Querrey,R,198.0,USA,32.2,6-3 6-3,3,R16,54.0,7.0,2.0,48.0,25.0,23.0,12.0,9.0,2.0,3.0,6.0,3.0,48.0,29.0,16.0,10.0,9.0,2.0,6.0,18.0,1799.0,45.0,1080.0,Rublev A.,Querrey S.,Adelaide_2020_126094_105023
2020-M056,Adelaide,Hard,32,A,20200113,287,106109,,WC,Alex Bolt,L,183.0,AUS,27.0,105526,7.0,,Jan Lennard Struff,R,193.0,GER,29.7,6-3 6-4,3,R16,67.0,5.0,3.0,56.0,35.0,28.0,13.0,10.0,0.0,0.0,8.0,0.0,54.0,33.0,23.0,10.0,9.0,3.0,5.0,157.0,332.0,37.0,1270.0,Bolt A.,Struff J.L.,Adelaide_2020_106109_105526
2020-M056,Adelaide,Hard,32,A,20200113,286,200000,2.0,,Felix Auger Aliassime,R,193.0,CAN,19.4,105902,,WC,James Duckworth,R,183.0,AUS,27.9,6-3 7-6(0),3,R16,97.0,10.0,2.0,59.0,37.0,32.0,17.0,11.0,1.0,1.0,2.0,2.0,71.0,43.0,25.0,20.0,10.0,3.0,4.0,22.0,1656.0,96.0,576.0,Auger-Aliassime F.,Duckworth J.,Adelaide_2020_200000_105902
2020-M056,Adelaide,Hard,32,A,20200113,284,105077,,,Albert Ramos,L,188.0,ESP,31.9,111442,,,Jordan Thompson,R,183.0,AUS,25.7,6-4 6-7(5) 6-3,3,R32,156.0,4.0,4.0,107.0,67.0,50.0,21.0,16.0,6.0,7.0,9.0,1.0,86.0,58.0,44.0,14.0,15.0,3.0,6.0,42.0,1130.0,65.0,843.0,Ramos-Vinolas A.,Thompson J.,Adelaide_2020_105077_111442
2020-M056,Adelaide,Hard,32,A,20200113,283,126205,,Q,Tommy Paul,R,185.0,USA,22.6,105379,,,Aljaz Bedene,R,181.0,SLO,30.4,6-4 6-4,3,R32,72.0,6.0,0.0,52.0,33.0,27.0,13.0,10.0,3.0,4.0,5.0,3.0,63.0,40.0,29.0,7.0,10.0,3.0,6.0,90.0,600.0,54.0,950.0,Paul T.,Bedene A.,Adelaide_2020_126205_105379
2020-M056,Adelaide,Hard,32,A,20200113,282,104655,,,Pablo Cuevas,R,180.0,URU,34.0,124187,8.0,,Reilly Opelka,R,211.0,USA,22.3,5-7 7-6(9) 7-6(2),3,R32,138.0,16.0,4.0,116.0,79.0,67.0,23.0,18.0,3.0,4.0,36.0,5.0,102.0,64.0,57.0,26.0,18.0,0.0,0.0,44.0,1097.0,38.0,1227.0,Cuevas P.,Opelka R.,Adelaide_2020_104655_124187
2020-M056,Adelaide,Hard,32,A,20200113,280,104871,,,Jeremy Chardy,R,188.0,FRA,32.9,104468,,,Gilles Simon,R,183.0,FRA,35.0,6-3 7-5,3,R32,93.0,11.0,5.0,58.0,36.0,30.0,10.0,10.0,3.0,4.0,1.0,4.0,64.0,46.0,31.0,6.0,11.0,5.0,9.0,56.0,920.0,60.0,890.0,Chardy J.,Simon G.,Adelaide_2020_104871_104468
2020-M056,Adelaide,Hard,32,A,20200113,279,111513,,,Laslo Djere,R,188.0,SRB,24.6,200615,,WC,Alexei Popyrin,R,196.0,AUS,20.4,7-6(3) 3-6 6-4,3,R32,142.0,5.0,2.0,101.0,60.0,44.0,22.0,16.0,3.0,5.0,6.0,5.0,94.0,53.0,44.0,22.0,15.0,3.0,4.0,40.0,1165.0,95.0,585.0,Djere L.,Popyrin A.,Adelaide_2020_111513_200615
2020-M056,Adelaide,Hard,32,A,20200113,278,144750,,Q,Lloyd Harris,R,193.0,RSA,22.8,106426,6.0,,Cristian Garin,R,185.0,CHI,23.6,7-6(5) 3-6 6-4,3,R32,135.0,21.0,5.0,93.0,61.0,53.0,10.0,16.0,4.0,7.0,7.0,5.0,96.0,49.0,39.0,25.0,15.0,7.0,9.0,91.0,594.0,36.0,1285.0,Harris L.,Garin C.,Adelaide_2020_144750_106426
2020-M056,Adelaide,Hard,32,A,20200113,277,122330,,,Alexander Bublik,R,196.0,KAZ,22.5,126203,5.0,,Taylor Fritz,R,193.0,USA,22.2,6-4 7-6(4),3,R32,96.0,17.0,8.0,75.0,43.0,38.0,13.0,11.0,5.0,5.0,10.0,1.0,82.0,51.0,31.0,21.0,11.0,3.0,4.0,55.0,934.0,32.0,1335.0,Bublik A.,Fritz T.,Adelaide_2020_122330_126203
