tournament_id,tournament_name,tournament_location,tournament_level,draw_size,Surface,indoor_or_outdoor
2021-0499,Delray Beach Open,Delray Beach,A,32.0,hard,Outdoor
2021-580,Australian Open,Melbourne,G,128.0,hard,Outdoor
2021-9460,Singapore Open,Singapore,A,32.0,hard,Indoor
2021-9158,Cordoba Open,Cordoba,A,32.0,clay,Outdoor
2021-0375,Open Sud de France,Montpellier,A,32.0,hard,Indoor
2021-0407,ABN AMRO World Tennis Tournament,Rotterdam,A,32.0,hard,Indoor
2021-0506,Argentina Open,Buenos Aires,A,32.0,clay,Outdoor
2021-0451,Qatar Exxon Mobil Open,Doha,A,32.0,hard,Outdoor
2021-8996,Chile Open,Santiago,A,32.0,clay,Indoor
2021-0496,Open 13,Marseille,A,32.0,hard,Indoor
2021-0495,Dubai Tennis Championships,Dubai,A,64.0,hard,Outdoor
2021-0807,Abierto Mexicano,Acapulco,A,32.0,hard,Outdoor
2021-0403,Miami Open,Miami,M,128.0,hard,Outdoor
2021-9481,Sardegna Open,Cagliari,A,32.0,hard,Outdoor
2021-9462,AnyTech365 Andalucia Open,Marbella,A,32.0,hard,Outdoor
2021-0410,Monte Carlo Masters,Monte Carlo,M,64.0,clay,Outdoor
2021-0425,Barcelona Open,Barcelona,A,64.0,clay,Outdoor
2021-5053,Serbia Open,Belgrade,A,32.0,clay,Outdoor
2021-7290,Millennium Estoril Open,Estoril,A,32.0,clay,Outdoor
2021-0308,BMW Open,Munich,A,32.0,clay,Outdoor
2021-1536,Mutua Madrid Open,Madrid,M,64.0,clay,Outdoor
2021-0416,Internazionali BNL d'Italia,Rome,M,64.0,clay,Outdoor
2021-0322,Geneva Open,Geneva,A,32.0,clay,Outdoor
2021-7694,Lyon Open,Lyon,A,32.0,clay,Outdoor
2021-9510,Emilia-Romagna Open,Parma,A,32.0,clay,Outdoor
2021-9512,Belgrade Open,Belgrade 2,A,32.0,clay,Outdoor
2021-520,French Open,Paris,G,128.0,clay,Outdoor
2021-0321,Mercedes Cup,Stuttgart,A,32.0,grass,Outdoor
2021-0500,Halle Open,Halle,A,32.0,grass,Outdoor
2021-0311,Queen's Club Championships,Queens Club,A,32.0,grass,Outdoor
2021-8994,Mallorca Championships,Mallorca,A,32.0,grass,Outdoor
2021-0741,Viking International,Eastbourne,A,32.0,grass,Outdoor
2021-540,Wimbledon,London,G,128.0,grass,Outdoor
2021-0315,Hall of Fame Championships,Newport,A,32.0,grass,Outdoor
2021-0316,Nordea Open,Bastad,A,32.0,clay,Outdoor
2021-0414,European Open,Hamburg,A,32.0,clay,Outdoor
2021-0314,Suisse Open Gstaad,Gstaad,A,32.0,clay,Outdoor
2021-0439,Croatia Open,Umag,A,32.0,clay,Outdoor
2021-7480,Mifel Open,Los Cabos,A,32.0,hard,Outdoor
2021-0319,Generali Open,Kitzbuhel,A,32.0,clay,Outdoor
2021-6116,BB&T Atlanta Open,Atlanta,A,32.0,hard,Outdoor
