tournament_id,tournament_name,tournament_location,tournament_date,tournament_level,draw_size,Surface,indoor_or_outdoor
2020-M056,Adelaide International,Adelaide,2020-01-13,A,32,Hard,Outdoor
2020-0301,ASB Classic,Auckland,2020-01-13,A,32,Hard,Outdoor
2020-580,Australian Open,Melbourne,2020-01-20,G,128,Hard,Outdoor
2020-9158,Cordoba Open,Cordoba,2020-02-03,A,32,Clay,Outdoor
2020-0375,Open Sud de France,Montpellier,2020-02-03,A,32,Hard,Indoor
2020-0891,Maharashtra Open,Pune,2020-02-03,A,32,Hard,Outdoor
2020-0506,Argentina Open,Buenos Aires,2020-02-10,A,32,Clay,Outdoor
2020-0424,New York Open,New York,2020-02-10,A,32,Hard,Indoor
2020-0407,ABN AMRO World Tennis Tournament,Rotterdam,2020-02-10,A,32,Hard,Indoor
2020-0499,Delray Beach Open,Delray Beach,2020-02-17,A,32,Hard,Outdoor
2020-0496,Open 13,Marseille,2020-02-17,A,32,Hard,Indoor
2020-6932,Rio Open,Rio de Janeiro,2020-02-17,A,32,Clay,Outdoor
2020-M004,Abierto Mexicano,Acapulco,2020-02-24,A,32,Hard,Outdoor
2020-0495,Dubai Tennis Championships,Dubai,2020-02-24,A,32,Hard,Outdoor
2020-8996,Chile Open,Santiago,2020-02-24,A,32,Clay,Indoor
2020-M024,Western & Southern Financial Group Masters,Cincinnati,2020-08-24,M,64,Hard,Outdoor
2020-0319,Generali Open,Kitzbuhel,2020-09-07,A,32,Clay,Outdoor
2020-560,US Open,New York,2020-08-31,G,128,Hard,Outdoor
2020-M009,Internazionali BNL d'Italia,Rome,2020-09-14,M,64,Clay,Outdoor
2020-0414,German Tennis Championships,Hamburg,2020-09-21,A,32,Clay,Outdoor
2020-520,French Open,Paris,2020-09-28,G,128,Clay,Outdoor
2020-9404,bett1HULKS Indoors,Cologne 1,2020-10-12,A,32,Hard,Indoor
2020-9408,Forte Village Sardegna Open,Sardinia,2020-10-12,A,32,Clay,Outdoor
2020-0568,St. Petersburg Open,St. Petersburg,2020-10-12,A,32,Hard,Indoor
2020-7485,European Open,Antwerp,2020-10-19,A,32,Hard,Indoor
2020-9406,bett1HULKS Championship,Cologne 2,2020-10-19,A,32,Hard,Indoor
2020-9410,Astana Open,Nur-Sultan,2020-10-26,A,32,Hard,Indoor
2020-0337,Erste Bank Open,Vienna,2020-10-26,A,32,Hard,Indoor
2020-0352,BNP Paribas Masters,Paris 2,2020-11-02,M,64,Hard,Indoor
2020-7434,Sofia Open,Sofia,2020-11-09,A,32,Hard,Indoor
2021-9426,Antalya Open,Antalya,2021-01-05,A,32,Hard,Indoor
2021-0499,Delray Beach Open,Delray Beach,2021-01-04,A,32,Hard,Outdoor
2021-580,Australian Open,Melbourne,2021-02-08,G,128,Hard,Outdoor
2021-9158,Cordoba Open,Cordoba,2021-02-22,A,32,Clay,Outdoor
2021-0375,Open Sud de France,Montpellier,2021-02-22,A,32,Hard,Indoor
2021-9460,Singapore Open,Singapore,2021-02-22,A,32,Hard,Indoor
2021-0506,Argentina Open,Buenos Aires,2021-03-01,A,32,Clay,Outdoor
2021-0407,ABN AMRO World Tennis Tournament,Rotterdam,2021-03-01,A,32,Hard,Indoor
2021-0451,Qatar Exxon Mobil Open,Doha,2021-03-08,A,32,Hard,Outdoor
2021-0496,Open 13,Marseille,2021-03-08,A,32,Hard,Indoor
2021-8996,Chile Open,Santiago,2021-03-08,A,32,Clay,Indoor
2021-0807,Abierto Mexicano,Acapulco,2021-03-15,A,32,Hard,Outdoor
2021-0495,Dubai Tennis Championships,Dubai,2021-03-15,A,64,Hard,Outdoor
2021-0403,Miami Open,Miami,2021-03-22,M,128,Hard,Outdoor
2021-9481,Sardegna Open,Cagliari,2021-04-05,A,32,Hard,Outdoor
2021-9462,AnyTech365 Andalucia Open,Marbella,2021-04-05,A,32,Hard,Outdoor
2021-0410,Monte Carlo Masters,Monte Carlo,2021-04-12,M,64,Clay,Outdoor
